"id","title","address ","arv","cardiovascular","dental","department ","diabetes","emergency ","free_obstetric_care_program   ","general_consultation","hypertension","institution_code","intensive_care","laboratory","latitude ","longitude","malaria","number_of_adult_beds","number_of_pediatric_beds","obgyn","operating_room","orl ","palliative_care","pediatrics","pharmacy","physical_therapy","psychology_service","section","status","surgery","telephone","town ","type","vaccination"
"11795","CAL Jules Fleury"," ","0","0","0","NIPPES  ","1","1","0","1","1","102101","1","1","18.5046","-73.3423 ","1","9 ","2","1","1","0","0","0","1","0","0"," ","Publique","1","","ANSE A VEAU","Hopital","1"
"11812","CS Aquin"," ","0","0","1","SUD  ","1","1","1","1","1","73101","1","1","18.2821","-73.39759999 ","1","20 ","0","1","1","0","0","1","1","0","0"," ","Publique","1","","AQUIN","Hopital","1"
"11828","Hopital Reforme de Saintard"," ","0","0","1","OUEST  ","1","1","0","1","1","14110","0","1",""," ","1","0 ","0","0","0","0","0","0","1","0","0"," ","Privée","0","","ARCAHAIE","Hopital","0"
"11847","Bon Samaritain"," ","0","0","1","NORD OUEST  ","1","1","1","1","1","91301","1","1","19.7837","-72.7971 ","1","9 ","0","1","0","1","0","1","1","0","1"," ","Mixte","1","","BASSIN BLEU","Hopital","1"
"11852","Hôpital Notre Dame de la Nativité"," ","1","1","1","CENTRE  ","0","1","1","1","1","63201","0","1","18.868500000","-71.76179999 ","1","5 ","1","1","1","0","1","1","1","1","1"," ","Publique","0","","BELLADERE","Hopital","1"
"11870","Hopital Bon Sauveur de Cange"," ","0","0","1","CENTRE  ","1","1","1","1","1","62303","1","1",""," ","1","10 ","1","1","1","1","0","1","1","0","1"," ","Privée","1","","BOUCAN CARRe","Hopital","1"
"11885","Hôpital Justinien"," ","1","1","1","NORD  ","1","1","1","1","1","31100","0","1","19.7636","-72.20629999 ","1","96 ","10","1","1","0","1","1","1","1","0"," ","Publique","1","","CAP-HAITIEN","Hopital","1"
"11887","CSL Fort St Michel"," ","1","1","1","NORD  ","1","1","1","1","1","31102","0","1","19.7423","-72.19419999 ","1","12 ","0","1","1","0","1","1","1","1","1"," ","Publique","0","","CAP-HAITIEN","Hopital","1"
"11903","Hôpital de carrefour"," ","1","1","1","OUEST  ","1","1","1","1","1","11303","0","1","18.539400000","-72.40749999 ","1","35 ","18","1","0","0","1","1","1","1","1"," ","Publique","1","","CARREFOUR","Hopital","1"
"11906","Hôpital Adventiste d'Haiti (HAH)"," ","0","0","0","OUEST  ","1","1","0","1","1","11306","1","1","18.532399999","-72.387 ","1","15 ","15","1","1","1","0","1","1","0","1"," ","Privée","1","","CARREFOUR","Hopital","1"
"11907","CSL La Barque de Pierre"," ","0","0","0","OUEST  ","0","0","0","0","0","11307","0","0","18.4660","-72.4111 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","CARREFOUR","Hopital","0"
"11930","Hop Bonne Fin"," ","0","0","0","SUD  ","1","1","0","1","1","73301","0","1","18.3936","-73.6138 ","1","67 ","0","1","1","0","0","1","1","0","1"," ","Mixte","1","","CAVAILLON","Hopital","0"
"11936","HIC"," ","1","1","1","SUD  ","1","1","1","1","1","71100","0","1","18.194700000","-73.75 ","1","77 ","6","1","1","0","1","1","1","1","0"," ","Publique","1","","CAYES","Hopital","1"
"11937","I. O. Brenda"," ","0","0","0","SUD  ","0","0","0","0","0","71101","0","1","18.196200000","-73.7577 ","0","2 ","0","0","1","1","0","0","1","0","1"," ","Mixte","0","","CAYES","Hopital","0"
"11938","Sanatorium"," ","0","0","0","SUD  ","0","0","0","0","0","71102","0","0","18.223500000","-73.7453 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Publique","0","","CAYES","Hopital","0"
"11939","Citymed"," ","0","0","0","SUD  ","1","1","0","1","1","71103","0","1","18.192799999","-73.75249999 ","1","7 ","0","1","1","0","0","0","1","0","0"," ","Privée","0","","CAYES","Hopital","1"
"11940","Cite Lumiere"," ","0","0","0","SUD  ","1","0","0","0","1","71104","0","0","18.229099999","-73.76080000 ","1","64 ","0","0","0","0","0","0","0","0","0"," ","Mixte","0","","CAYES","Hopital","1"
"11959","Centre de Santé de Cerca La Source"," ","0","0","0","CENTRE  ","1","1","1","1","1","64101","0","1","19.1680","-71.7904 ","1","6 ","0","0","0","0","0","0","1","0","1"," ","Mixte","0","","CERCA LA SOURCE","Hopital","1"
"11971","CHOSCAL"," ","0","0","0","OUEST  ","1","1","1","1","1","11229","1","1","18.5704","-72.2915 ","1","49 ","40","1","1","0","0","1","1","0","1"," ","Publique","1","","CITE SOLEIL","Hopital","1"
"11973","Centre médical & de nutrition Rosalie Rendu"," ","0","0","0","OUEST  ","0","0","0","0","0","11232","0","0","18.570417","-72.291467 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Publique","0","","CITE SOLEIL","Hopital","0"
"11988","Hôpital Défilé de Beudet"," ","0","0","0","OUEST  ","0","0","0","0","0","13102","0","0","18.6127","-72.21309999 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Publique","0","","CROIX DES BOUQUETS","Hopital","0"
"111008","CAL de la Communauté Dame-Marienne"," ","1","1","0","GRANDE ANSE  ","1","1","1","1","1","82201","0","1","18.563500000","-74.42199999 ","1","8 ","0","1","1","0","1","0","1","1","1"," ","Publique","0","","DAME-MARIE","Hopital","1"
"111017","Citymed de Delmas"," ","0","0","0","OUEST  ","0","0","0","0","0","11205","0","0","18.5704","-72.2915 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","DELMAS","Hopital","0"
"111018","Hopital de Delmas 33"," ","0","0","0","OUEST  ","0","0","0","0","0","11206","0","0","18.570417","-72.291467 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Publique","0","","DELMAS","Hopital","0"
"111020","Hôpital Grace Children"," ","1","1","0","OUEST  ","0","0","0","0","0","11208","0","0","18.5609","-72.30190000 ","0","0 ","0","0","0","0","1","0","0","1","0"," ","Privée","0","","DELMAS","Hopital","0"
"111021","Hôpital Espoir"," ","0","0","0","OUEST  ","0","0","0","0","0","11209","0","0","18.542400000","-72.27899999 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","DELMAS","Hopital","0"
"111023","Hopital saint Charbel (DASH)"," ","0","0","0","OUEST  ","0","0","0","0","0","11211","0","0","18.5704","-72.2915 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","DELMAS","Hopital","0"
"111024","Hopital Jude Anne (DASH)"," ","0","0","0","OUEST  ","0","0","0","0","0","11212","0","0","18.5704","-72.2915 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","DELMAS","Hopital","0"
"111028","Hopital Isaïe Jeanty"," ","1","1","0","OUEST  ","0","0","1","0","0","11217","0","1","18.5645","-72.3354 ","0","0 ","0","0","0","0","1","0","1","1","0"," ","Publique","0","","DELMAS","Hopital","0"
"111040","Nos petits frères et soeurs (Hopital St damien)"," ","0","0","1","OUEST  ","0","1","0","0","1","11234","1","1","18.48086","-72.25457 ","1","0 ","0","1","1","1","0","1","1","0","1"," ","Privée","1","","DELMAS","Hopital","1"
"111043","Hopital Medicaire"," ","0","0","0","OUEST  ","0","0","0","0","0","11243","0","0",""," ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","DELMAS","Hopital","0"
"111051","Claire Heureuse"," ","1","1","1","ARTIBONITE  ","1","1","0","1","1","54101","1","1","19.2624","-72.51680000 ","1","24 ","10","1","1","0","1","1","1","1","0"," ","Mixte","1","","DESSALINES","Hopital","1"
"111069","Toussaint Louverture"," ","0","0","0","ARTIBONITE  ","1","1","0","1","1","51201","0","1","19.4849","-72.48069999 ","1","3 ","0","0","0","0","0","0","1","0","0"," ","Privée","0","","ENNERY","Hopital","1"
"111077","CAL de Béthel de L'Armée Du Salut"," ","0","0","0","NIPPES  ","1","1","0","1","1","101302","0","1","18.3623","-73.2309 ","1","10 ","0","1","0","1","0","1","1","0","1"," ","Mixte","1","","FONDS-DES-NEGRES","Hopital","1"
"111082","Hôpital de Fort Liberté"," ","1","1","0","NORD EST  ","1","1","1","1","1","41100","1","1","19.668099999","-71.83820000 ","1","32 ","8","1","1","0","1","1","1","1","1"," ","Mixte","1","","FORT-LIBERTe","Hopital","1"
"111093","La Providence"," ","1","1","1","ARTIBONITE  ","1","1","1","1","1","51101","0","1","19.4514","-72.68540000 ","1","52 ","0","1","1","0","1","1","1","1","1"," ","Publique","1","","GONAIVES","Hopital","1"
"111094","Bayonnais"," ","0","0","0","ARTIBONITE  ","0","0","0","1","1","51102","0","0","19.4114","-72.47839999 ","0","0 ","0","0","0","0","0","0","1","0","0"," ","Publique","0","","GONAIVES","Hopital","1"
"111101","Trou Sable"," ","0","0","0","ARTIBONITE  ","1","1","0","1","1","51109","1","1","19.4437","-72.68019999 ","1","24 ","3","1","1","0","0","1","1","0","0"," ","Privée","1","","GONAIVES","Hopital","1"
"111130","Hopital St Charles"," ","0","0","0","OUEST  ","0","0","0","0","0","11613","0","0","18.5385","-72.4097 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","GRESSIER","Hopital","0"
"111131","Alma Mater"," ","1","1","1","ARTIBONITE  ","1","1","0","1","1","52101","0","1","19.672599999","-72.67640000 ","1","8 ","1","1","1","0","1","1","1","1","1"," ","Mixte","1","","GROS-MORNE","Hopital","1"
"111144","Hôpital Sainte Thérèse"," ","1","1","1","CENTRE  ","1","1","1","1","1","61100","1","1","19.146699999","-72.01000000 ","1","5 ","1","1","1","1","1","1","1","1","1"," ","Publique","1","","HINCHE","Hopital","1"
"111171","Hopital St Michel "," ","1","1","1","SUD EST  ","1","1","1","1","1","21100","0","1","18.2394","-72.54189999 ","1","42 ","1","1","1","1","1","1","1","1","1"," ","Publique","1","","JACMEL","Hopital","1"
"111172","N.D la Paix"," ","0","1","1","NORD OUEST  ","1","1","0","1","1","93401","1","1","19.858699999","-73.18609999 ","1","14 ","8","1","1","1","1","1","1","1","0"," ","Publique","1","","JEAN-RABEL","Hopital","1"
"111189","Hôpital Saint Antoine"," ","1","1","1","GRANDE ANSE  ","1","1","1","1","1","81100","1","1","18.646699999","-74.11799999 ","1","114 ","44","1","1","1","1","1","1","1","1"," ","Publique","1","","JEREMIE","Hopital","1"
