id,dates,organization,specialties,facility_location,country,link,longterm_mission,mission_comments,charges_to_patients,location_information,sponsoring_organization,organization_url,organization_phone,sponsoring_contacts
33000,Long-term,La Gonave,"Family or General Practice, Obstetrics and Gynecology",La Gonave Wesleyan Hospital,Haiti,"<a href=""/missionrecords/la-gonave-wesleyan-hospital"">view</a>",Yes,"40 bed hospital with full-time Haitian doctor, 2 Cuban GPs and 2 Haitian residents. Looking for missionary general surgeon. Basic ultrasound for OB, basic labs and xray too.",Emergency care is provided to those who need it regardless of ability to pay. Elective surgery is paid in advance. If a patient is unable to pay for medications or services there is a fund to help them with their care.,['Haiti'],La Gonave,http://www.lagonavepartners.org,904-261-6317,
33001,Long-term,Baptist Haiti Mission,"Dentistry, Family or General Practice, General Surgery, Optometry, Orthopedics, Radiology, Urology",Baptist Haiti Mission (Fermathe),Haiti,"<a href=""/missionrecords/baptist-haiti-mission-hospital"">view</a>",Yes,"Comprehensive medical ministry serves the local population as well as those in remote areas. The medical staff operates a 100 bed full service hospital and tuberculosis sanitarium as well as outpatient clinics. Services include laboratory, radiology, surgery, dental, and optometry programs. Orthopedist and urologist come regularly 4 times a month, also perform surgery. PLASTIC SURGEONS NEEDED. Visiting teams welcome; prefer that they bring anesthesiologists.",Unknown,"['Baptist Haiti Mission (Fermathe)', 'BP 673', 'Port-au-Prince', 'Ouest', 'Haiti']",Baptist Haiti Mission,http://www.bhm.org/index.htm,011-509-3556-9112,
33002,Long-term,Beraca Medical Center,"Anesthesiology, Emergency Medicine, Infectious Disease, Internal Medicine, Obstetrics and Gynecology, Pediatrics",Beraca Medical Center,Haiti,"<a href=""/missionrecords/beraca-medical-center"">view</a>",Yes,"This 70 year old hospital is open 24/7 and sees any and all patients. Services include: Maternity, Pediatric, Surgery, Internal Medicine, and Infectious Disease. Beraca Medical Center manages HIV/AIDS, tracks and treats TB, and raises community health awareness.",,"['Beraca Medical Center', 'La Pointe des PalmistesPort de Paix', 'Port-de-Paix', 'Nord-Ouest', 'Haiti']",Beraca Medical Center,,,
33003,Long-term,OMS International (Bethesda Clinic),"Dentistry, Nurse Practitioner",Bethesda Medical & Dental Center,Haiti,"<a href=""/missionrecords/oms-intl-bethesda-medical-dental-center"">view</a>",Yes,"Haitian Christians presently staff the Bethesda Medical and Dental Center. Originally trained by OMS missionaries, the full-time personnel treat over 30,000 patients at the medical clinic and 5,000 at the dental clinic yearly. In addition, retired missionaries and medical/dental professionals assist the nationals on a part-time volunteer basis. The medical clinic also operates prenatal and well-baby programs that assist over 4,000 mothers and babies a year.",,"['Bethesda Medical & Dental Center', 'OMS Compound', 'Vaudreuil', 'Nord-Ouest', 'Haiti']",OMS International (Bethesda Clinic),http://www.omsinternational.org,,
33004,Long-term,La Gonave,Family or General Practice,Bill Rice Community Health Center,Haiti,"<a href=""/missionrecords/la-gon"">view</a>",Yes,"5 days a week with a doctor, registered nurse, nurses aides, medical technicians, and pharmacists. Several times a year, doctors from U.S. have specialized clinics, such as OB-GYN or family medicine.",,"['Bill Rice Community Health Center', 'Nouvelle Cite', 'Ouest', 'Haiti']",La Gonave,http://www.lagonavepartners.org,904-261-6317,
33005,Long-term,Family Health Ministries,"Family or General Practice, Nurse Practitioner, Vaccinations",Blanchard (Terre Noire) Family Health Center,Haiti,"<a href=""/missionrecords/blanchard-terre-noire-family-health-center"">view</a>",Yes,"Key programs include prenatal care and childhood immunizations. Haitian staff includes physician, nurse practitioner, pharmacist",None.,"['Blanchard (Terre Noire) Family Health Center', 'SEE DESTINATION UNDER PORT-AU-PRINCE(BLANCHARD)', 'Port-au-Prince (Blanchard)', 'Ouest', 'Haiti']",Family Health Ministries,http://www.familyhm.org,919-932-9699,
33006,Long-term,Cap Haitien Eye Center --International Ministries,"Ophthalmology, Optometry",Cap Haitian Eye Clinic,Haiti,"<a href=""/missionrecords/cap-haitien-eye-center"">view</a>",Yes,"Full-time clinic for eye surgery and disease. Full-scale optical lab to provide eye glasses. Addresses issues of cataract surgery, glaucoma, poor eyesight and blindness throughout northern Haiti.",Everyone receives treatment regardless of their financial situation.,"['Cap Haitian', 'Nord', 'Haiti']",Cap Haitien Eye Center --International Ministries,http://www.internationalministries.org,,
33007,Long-term,CRUDEM (Center for Rural Development of Milot),"Anesthesiology, Family or General Practice, HIV Treatment, Internal Medicine, Obstetrics and Gynecology, Pediatrics",Center for the Rural Development of Milot (CRUDEM),Haiti,"<a href=""/missionrecords/center-rural-development-milot-crudem-hospital"">view</a>",Yes,"This is a full-time mission with availablity of family practice, Internal Medicine, OB-GYN, and Pediatrics year-round. Refer patients to: Mr. Raymond Delnatus, ",A nominal fee is charged. call Msr Delnatus on his cell phone (3782-6823) for fee reduction requests due to financial hardship. Children up to age 5 are treated for no charge.,"['Center for the Rural Development of Milot (CRUDEM)', 'Milot', 'Nord-Ouest', 'Haiti']",CRUDEM (Center for Rural Development of Milot),http://www.crudem.org/,413-596-2692,
33008,Long-term,Centre Medico Social Nord Alexis,"Family or General Practice, Family planning services, Obstetrics and Gynecology, Pediatrics, Vaccinations",Centre Medico Social Nord Alexis,Haiti,"<a href=""/missionrecords/centre-medico-social-nord-alexis"">view</a>",Yes,"Centre Medico Social clinic services include routine primary and pediatric care, routine gynecological care, family planning, treatment of sexually transmitted diseases and pre/post natal care. In addition, there are laboratory and pharmacy services on site.",,"['Centre Medico Social Nord Alexis', '76 Ruelle Nord Alexis', 'Limonade', 'Nord-Ouest', 'Haiti']",Centre Medico Social Nord Alexis,http://centremedicosocialhaiti.org/index.html,Haiti 29490093 or 37487582 / New York 718.399.0200,
33009,Long-term,Centre PAZAPA,"Orthopedics, Pediatric Surgery, Physical Therapy, Rehabilitation Medicine",Centre PAZAPA,Haiti,"<a href=""/missionrecords/centre-pazapa"">view</a>",Yes,"The mission of PAZAPA is to support the treatment, education, and development of children with handicaps, and to integrate them into the community at large.",Complete coverage of surgical and other associated costs ensures that every child seen at the center or at one of the rural outreach clinics is eligible for treatment.,"['Centre PAZAPA', 'B.P. 92', 'Jacmel', 'Sud-Est', 'Haiti']",Centre PAZAPA,http://www.siloe.org/about.,509-288-3673,
